SN,Latitude,Longitude,Altitude,Heading,Speed
301,24.913376,121.1669504,182,92.21,58.2
302,24.9133872,121.1666304,181,92.21,58.2
303,24.9133968,121.1663232,181,91.97,55.86
304,24.9134336,121.166016,181,97.52,56.31
305,24.9135072,121.1656192,181,101.56,73.6
306,24.91348,121.1652992,181,84.65,58.41
307,24.9134672,121.164992,181,87.37,55.89
308,24.9134688,121.1646848,181,90.33,55.83
309,24.9134768,121.1643776,181,91.64,55.85
310,24.9134832,121.1640832,181,91.37,53.52
311,24.9134895,121.1637632,181,91.24,58.17
312,24.9134976,121.1634432,180,91.6,58.18
313,24.9135024,121.163136,178,90.99,55.84
314,24.913504,121.162816,177,90.32,58.15
315,24.9134944,121.1625216,177,87.94,53.54
316,24.913496,121.1622272,177,90.34,53.5
317,24.9134944,121.16192,177,89.67,55.83
318,24.9134976,121.1616,177,90.63,58.16
319,24.9134976,121.1612672,177,90,60.48
320,24.9134176,121.1609856,177,72.61,53.63
321,24.913488,121.1606656,177,103.63,59.84
322,24.9135472,121.16032,176,100.7,63.92
323,24.9135856,121.1599744,176,96.98,63.28
324,24.9136016,121.1596544,176,93.16,58.24
325,24.9136192,121.1593344,176,93.47,58.26
326,24.9136288,121.1588992,177,91.39,52.74
327,24.9136384,121.1585792,177,91.89,58.19
328,24.913656,121.1582592,178,93.47,58.26
329,24.9136688,121.1579392,177,92.53,58.21
330,24.9136928,121.1576192,176,94.73,58.35
331,24.9136944,121.1572864,176,90.3,60.48
332,24.9137008,121.1569536,175,91.21,60.49
333,24.9137056,121.1566208,174,90.91,60.49
334,24.9137184,121.1563008,173,92.53,58.21
335,24.9137327,121.1559808,172,92.82,58.22
336,24.9137504,121.1556608,171,93.49,58.26
337,24.9137712,121.1553408,171,94.1,58.3
338,24.913784,121.1550208,171,92.53,58.21
339,24.9137936,121.1547136,171,91.97,55.86
340,24.9138176,121.1543936,170,94.73,58.35
341,24.913832,121.1540864,170,92.96,55.9
342,24.9138448,121.1536768,167,91.97,49.65
343,24.9138672,121.1533312,169,94.09,41.98
344,24.9138848,121.1529984,168,93.34,40.39
345,24.913904,121.1526656,168,93.64,40.4
346,24.91392,121.1523584,168,93.29,37.28
347,24.9139328,121.152128,168,93.51,27.97
348,24.9139488,121.151936,168,95.25,23.36
349,24.9139552,121.1517568,167,92.26,21.73
350,24.9139632,121.151552,167,92.47,24.83
351,24.9139808,121.1513472,167,95.41,24.92
352,24.9139823,121.1511424,168,90.46,24.81
353,24.9139823,121.150784,168,90,32.57
354,24.9140096,121.1505024,168,96.1,34.31
355,24.9140208,121.150208,168,92.4,35.7
356,24.9140624,121.1498752,168,97.85,30.53
357,24.9140816,121.149504,167,93.26,33.78
358,24.9140848,121.1491456,167,90.56,32.57
359,24.9140704,121.1487872,167,87.46,32.6
360,24.914072,121.1485568,167,90.44,27.91
361,24.9140799,121.1482496,166,91.62,37.23
362,24.9140799,121.1479808,166,90,32.57
363,24.914088,121.1476992,165,91.82,34.13
364,24.9141024,121.1474304,166,93.38,32.62
365,24.9141152,121.147136,165,92.74,35.71
366,24.9141376,121.14688,165,95.51,31.16
367,24.914144,121.1466752,165,91.97,24.83
368,24.9141792,121.1465472,165,106.87,16.2
369,24.9142048,121.1464064,165,101.34,17.4
370,24.9142288,121.1463808,164,135.95,4.46
371,24.9142319,121.1463936,164,255.05,4.81
372,24.9142208,121.146368,164,64.45,3.44
373,24.9142096,121.1463424,164,64.25,3.44
374,24.914184,121.1463296,164,24.39,2.25
375,24.9141648,121.146304,163,50.41,0.3
376,24.9141584,121.1462784,163,74.59,1.21
377,24.9141536,121.1462656,163,67.54,1.68
378,24.914144,121.1462528,163,50.41,0.22
379,24.9141343,121.1462272,163,67.33,3.36
380,24.9141343,121.1462272,163,0,0
381,24.914128,121.1462272,163,0,0.84
382,24.914128,121.1462144,163,90,1.55
383,24.914128,121.1462144,163,0,0
384,24.914128,121.1462144,163,0,0
385,24.9141056,121.146176,163,57.25,1.84
386,24.9141024,121.146176,163,0,0.43
387,24.9140944,121.1461504,163,70.99,0.26
388,24.9140896,121.1461504,163,0,0.65
389,24.914088,121.1461504,163,0,0.07
390,24.9140896,121.1461504,163,180,0.07
391,24.9140896,121.1461504,164,0,0
392,24.9140928,121.1461632,164,254.59,0.17
393,24.9140848,121.1461504,164,55.43,1.88
394,24.9140799,121.1461376,164,67.12,1.26
395,24.9140816,121.1461376,164,180,0.11
396,24.9140832,121.1461504,164,262.15,0.21
397,24.9140944,121.1461504,164,180,0.9
398,24.9140992,121.1461632,164,247.54,1.26
399,24.9140976,121.146176,164,277.85,1.56
400,24.9141056,121.146176,164,180,0.25
401,24.914112,121.1461888,164,241.13,1.77
402,24.9141248,121.1461888,164,180,1.71
403,24.9141392,121.1461888,164,180,1.92
404,24.9141424,121.1461888,164,180,0.43
405,24.914192,121.1461888,164,180,2.84
406,24.9142032,121.1461888,164,180,1.5
407,24.9141792,121.1460992,164,73.55,11.32
408,24.9141552,121.145984,164,77.06,14.32
409,24.9141888,121.1459072,164,115.75,10.33
410,24.914184,121.145792,164,87.37,13.97
411,24.9141984,121.1456384,164,95.9,18.71
412,24.9142144,121.1454848,164,96.55,18.73
413,24.9142288,121.1453184,163,95.45,20.25
414,24.9142464,121.1451392,163,96.18,21.84
415,24.9142736,121.1449472,162,98.88,23.54
416,24.9143072,121.1447424,161,100.25,25.21
417,24.9143424,121.1445376,161,100.73,25.25
418,24.914392,121.1443328,161,104.95,25.68
419,24.9144496,121.1441408,160,108.3,24.5
420,24.9145152,121.1439488,160,110.64,24.86
421,24.9145888,121.1437696,160,114.36,23.83
422,24.9146576,121.1435904,160,112.94,23.58
423,24.9147312,121.143424,160,116,22.43
424,24.9148048,121.1432448,160,114.36,23.83
425,24.914888,121.1430528,160,115.54,25.78
426,24.9150032,121.1428352,159,120.27,30.53
427,24.9151136,121.1426176,159,119.22,30.21
